raceId,driverId,lap,position_x,time,milliseconds,year,round,circuitId,name,position_y,grid,constructorId,statusId,status,code,Driver,LapNumber,Compound,TyreLife,FreshTyre,Stint,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
"1052","830","28","1",1:35.126,"95126","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"28",MEDIUM,11,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","29","1",1:35.282,"95282","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"29",MEDIUM,12,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","30","1",1:35.476,"95476","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"30",MEDIUM,13,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","31","1",1:35.054,"95054","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"31",MEDIUM,14,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","32","1",1:35.378,"95378","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"32",MEDIUM,15,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","33","1",1:35.286,"95286","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"33",MEDIUM,16,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","34","1",1:35.638,"95638","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"34",MEDIUM,17,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","35","1",1:35.593,"95593","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"35",MEDIUM,18,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","36","1",1:35.721,"95721","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"36",MEDIUM,19,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","37","1",1:35.620,"95620","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"37",MEDIUM,20,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","38","1",1:35.921,"95921","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"38",MEDIUM,21,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","39","1",1:37.828,"97828","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"39",MEDIUM,22,"1",2,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","40","2",1:53.437,"113437","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"40",HARD,1,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","41","2",1:33.228,"93228","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"41",HARD,2,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","42","2",1:33.450,"93450","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"42",HARD,3,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","43","2",1:33.231,"93231","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"43",HARD,4,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","44","2",1:33.594,"93594","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"44",HARD,5,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","45","2",1:34.056,"94056","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"45",HARD,6,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","46","2",1:33.894,"93894","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"46",HARD,7,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","47","2",1:34.092,"94092","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"47",HARD,8,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","48","2",1:33.818,"93818","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"48",HARD,9,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","49","2",1:33.576,"93576","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"49",HARD,10,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","50","2",1:33.893,"93893","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"50",HARD,11,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","51","2",1:33.964,"93964","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"51",HARD,12,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","52","2",1:34.669,"94669","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"52",HARD,13,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","53","2",1:36.413,"96413","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"53",HARD,14,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","54","2",1:35.073,"95073","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"54",HARD,15,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","55","2",1:34.565,"94565","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"55",HARD,16,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","830","56","2",1:34.727,"94727","2021","1","3",Bahrain International Circuit,1,"1","9","1",Finished,VER,VER,"56",HARD,17,"1",3,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","1","1","2",1:59.538,"119538","2021","1","3",Bahrain International Circuit,2,"2","131","1",Finished,HAM,HAM,"1",MEDIUM,4,"0",1,20.5,27.6,54.6,1014.9,0,0.9,11
"1052","1","2","2",2:22.712,"142712","2021","1","3",Bahrain International Circuit,2,"2","131","1",Finished,HAM,HAM,"2",MEDIUM,5,"0",1,20.5,27.6,54.6,1014.9,0,0.9,11
